timestamp,open,high,low,close,volume
1787565600000,77554.08,78017,77534.09,77617.22,1113.08488
1787569200000,77617.23,78600,77450,78443.65,1324.46087
1787572800000,78443.65,79326.48,77982,79159.99,1858.84351
1787576400000,79159.98,79450,77851.9,78597.99,3300.58408
1787580000000,78597.99,79841.12,78597.99,79510.92,3230.14333
1787583600000,79510.93,80000,78824.78,79100.01,3666.17565
1787587200000,79100.01,79877.87,78901.1,79047.6,1877.28842
1787590800000,79047.61,79198,78468.61,78761.14,1637.93002
1787594400000,78761.14,79084.22,78718.01,78928.35,783.83103
1787598000000,78928.35,79118.42,78600,78758,1063.06502
1787601600000,78757.99,78996,78560,78932.33,421.20967
1787605200000,78932.33,79049.4,78853.43,78984.23,302.47665
1787608800000,78984.23,78988,78692,78740,351.77026
1787612400000,78740,79017.76,78622.13,78992.75,636.71946
1787616000000,78992.76,79888,78715.63,79739.99,1133.49463
1787619600000,79739.99,79985.41,79478,79828,1067.23419
1787623200000,79828,81272.62,79742,80649.63,3314.90532
1787626800000,80649.62,80956,80314.31,80488.01,1359.49076
1787630400000,80488.01,80608,80150,80363.73,898.81211
1787634000000,80363.74,80821.53,80322,80731.9,994.03992
1787637600000,80731.9,80923.69,80420,80574.09,745.39881
1787641200000,80574.09,80819.67,79369.17,79705.79,1307.68383
1787644800000,79705.79,80249,79622,79930.77,788.31559
1787648400000,79930.76,79958,78888,79187.2,1475.2851
1787652000000,79187.2,79484.01,78992,79309.63,836.94668
1787655600000,79309.63,79463.59,79044.18,79117.99,617.29432
1787659200000,79118,79171.88,78640,78980,1007.3407
1787662800000,78980.01,79222,78120.74,78647.99,1734.1222
1787666400000,78648,79386.94,78531.55,79235.99,1216.06528
1787670000000,79236,79527.09,79020.04,79502.01,794.08262
1787673600000,79502.01,79563.71,79067.72,79156.02,676.1787
1787677200000,79156.02,79256.08,78752.06,79240.01,747.28203
1787680800000,79240.02,79380,79048.44,79128,469.50082
1787684400000,79128.01,79233.57,78728.35,78925.95,702.86873
1787688000000,78925.96,78976,78165.27,78206.13,777.55096
1787691600000,78206.14,78664,77851,78570,840.88883
1787695200000,78569.99,79000,78569.99,78889.51,577.33833
1787698800000,78889.51,78977.49,78396.88,78539.14,690.39348
1787702400000,78539.13,78721.48,78312,78631.79,680.65038
1787706000000,78631.7,78960,78607.29,78815.13,572.39774
1787709600000,78815.13,79251.6,78748.56,79108,505.52805
1787713200000,79108.01,79184,78900,79088.62,453.50631
1787716800000,79088.61,79200,78790.68,78826,482.93427
1787720400000,78826,79143.62,78638,79085.98,515.23689
1787724000000,79085.98,79206,78816,78947.92,459.3577
1787727600000,78947.92,79096,78867,78925.56,516.24118
1787731200000,78925.57,79119.37,78600,78707.59,995.42693
1787734800000,78707.59,78877.02,78244.83,78444.49,553.36821
1787738400000,78444.5,78879.75,78291.09,78727.45,367.28381
1787742000000,78727.46,78782,78317,78487.26,413.44093
1787745600000,78487.26,78713.79,77918.25,78319.59,1022.94925
1787749200000,78319.58,78554,77913.19,78448.66,943.22287
1787752800000,78448.66,78603.41,77774,77790.48,1051.14695
1787756400000,77790.48,78167.26,77632.58,78011.65,712.24119
1787760000000,78011.64,78161.73,77858,77991.3,600.54786
1787763600000,77991.29,78603,77991.29,78442.83,585.12324
1787767200000,78442.84,78650.26,78280.01,78472.41,337.24489
1787770800000,78472.41,78572,78292,78475.49,466.85134
1787774400000,78475.49,78521.7,78200,78452.04,322.22426
1787778000000,78452.04,78845.06,78392.19,78724.01,428.48439
1787781600000,78724,78975.85,78554,78700,931.26213
1787785200000,78700,79174.12,78654,79023.75,697.0881
1787788800000,79023.75,79028.49,78690.01,78690.01,527.82725
1787792400000,78690.02,79017.99,78546.13,78898.67,520.71745
1787796000000,78898.68,78978,78704.62,78717.76,429.02181
1787799600000,78717.76,78990,78643.23,78830.68,357.29079
1787803200000,78830.68,78900,78684.18,78783.99,181.61392
1787806800000,78783.99,78928,78600,78912.55,297.32854
1787810400000,78912.54,78912.55,78604.78,78817.49,399.15003
1787814000000,78817.5,79095.99,78754,79082.17,345.94116
1787817600000,79082.18,80022,79048,79755.99,1705.62217
1787821200000,79756,80520,79683.09,79986,1131.87984
1787824800000,79986,80158.15,79342,79626,684.67175
1787828400000,79625.99,79766.3,79172.65,79477.67,621.11446
1787832000000,79477.66,79596,79266,79282.31,505.96518
1787835600000,79282.31,79568,78920,79533.15,1143.32188
1787839200000,79533.16,80388,79354.47,80204.05,1464.1918
1787842800000,80204.06,80799.91,80094,80302.32,1415.34964
1787846400000,80302.32,80624,80189.39,80374,957.98058
1787850000000,80374,80848.74,80230,80442.46,973.76075
1787853600000,80442.47,80442.47,79749.7,80150.69,662.82544
1787857200000,80150.69,80294.11,79886,79910.19,514.60852
1787860800000,79910.19,80120,79882.86,80096,282.87253
1787864400000,80096,80184,79975.74,80184,278.41542
1787868000000,80184,80432.36,80150,80303.21,534.24073
1787871600000,80303.21,80393.6,80134,80249.58,329.82531
1787875200000,80249.59,80705.37,80153.99,80576,516.59696
1787878800000,80575.99,81478.87,80434.15,80500.38,1463.05089
1787882400000,80500.38,80500.38,79723.02,79926.11,1190.20509
1787886000000,79926.11,80060.01,79775.61,79810.49,530.69453
1787889600000,79810.48,79970.5,79603.81,79643.81,562.86792
1787893200000,79643.8,79872.6,79558.11,79686,326.58104
1787896800000,79686,79999,79685.99,79904.21,359.1323
